course,course number,credit hours,section number,crn,start date,end date,type,meeting time start,meeting time end,meeting days,building location,room number,instructors
GSD,102,3 hours.,AD3,77164,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:20 PM,R      ,Campus Instructional Facility,0036,"Cox E,Scott J"
GSD,102,3 hours.,AL ,77161,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:20 PM,T      ,Psychology Building,32,Scott J
GSD,190,1 TO 3 hours.,GEN,78561,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,11:00 AM,12:30 PM,MW     ,Psychology Building,29,Starks K
GSD,390,1 TO 3 hours.,AN2,77859,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,12:00 PM,02:50 PM,W      ,"Literatures, Cultures, & Ling",G8A,Velazquez J
GSD,390,1 TO 3 hours.,BGD,77651,2024-10-21Z,2024-12-11Z,Lecture,09:00 AM,10:40 AM,M      ,Campus Instructional Facility,0018,Bequette K
GSD,390,1 TO 3 hours.,BLN,78560,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,12:00 PM,02:50 PM,M      ,"Literatures, Cultures, & Ling",G8A,Velazquez J
GSD,390,1 TO 3 hours.,DBU,78029,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,02:00 PM,04:50 PM,R      ,Siebel Center for Design,0060,Baird D
GSD,390,1 TO 3 hours.,JAI,78614,2024-08-26Z,2024-10-18Z,Online,01:00 PM,02:50 PM,T      ,"Literatures, Cultures, & Ling",G8A,Velazquez J
GSD,390,1 TO 3 hours.,JCR,78069,2024-08-26Z,2024-10-18Z,Laboratory-Discussion,01:00 PM,02:40 PM,M      ,Siebel Center for Design,0060,Curtin M
GSD,390,1 TO 3 hours.,JGP,78012,2024-10-21Z,2024-12-11Z,Laboratory,01:00 PM,02:50 PM,T      ,,,Velazquez J
GSD,403,3 hours.,A  ,77122,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR     ,Gregory Hall,311,Cermak D
GSD,409,3 OR 4 hours.,ALG,77657,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,03:30 PM,05:50 PM,T      ,English Building,156,Pintar J
GSD,409,3 OR 4 hours.,ALU,77656,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,03:30 PM,05:50 PM,T      ,English Building,156,Pintar J
GSD,500,0 TO 1 hours.,A  ,77206,2024-08-26Z,2024-12-11Z,Lecture,04:00 PM,04:50 PM,R      ,Armory,182,Starks K
GSD,503,4 hours.,AL ,78530,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:00 PM,03:20 PM,F      ,Armory,428,Starks K
GSD,597,1 TO 4 hours.,,78841,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
GWS,100,3 hours.,AD1,55561,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,"Literatures, Cultures, & Ling",G20,"Khan M,Turner R"
GWS,100,3 hours.,AD2,55562,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,"Literatures, Cultures, & Ling",G36,"Khan M,Turner R"
GWS,100,3 hours.,AD3,55564,2024-08-26Z,2024-12-11Z,Online Discussion,03:00 PM,03:50 PM,R      ,,,"Khan M,Rijo Sanchez A"
GWS,100,3 hours.,AD4,55565,2024-08-26Z,2024-12-11Z,Online Discussion,04:00 PM,04:50 PM,R      ,,,"Khan M,Rijo Sanchez A"
GWS,100,3 hours.,AL1,55560,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,11:50 AM,MW     ,English Building,160,Khan M
GWS,201,3 hours.,BES,57507,2024-08-26Z,2024-12-11Z,Online Discussion,12:00 PM,01:20 PM,MW     ,,,Smith B
GWS,204,3 hours.,GEN,78679,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,11:00 AM,12:30 PM,MW     ,Psychology Building,29,Starks K
GWS,215,3 hours.,A  ,55768,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR     ,Armory,384,Kashani M
GWS,218,3 hours.,A  ,52166,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:00 PM,02:50 PM,MW     ,Allen Residence Hall,40,Enslin M
GWS,230,3 hours.,A  ,66518,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,04:20 PM,MW     ,Henry Administration Bldg,137,Flores N
GWS,255,3 hours.,DV ,57987,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,TR     ,,,
GWS,270,3 hours.,DIS,55949,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:00 PM,01:20 PM,TR     ,Campus Instructional Facility,2018,Niekerk C
GWS,272,3 hours.,A  ,43101,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW     ,David Kinley Hall,312,
GWS,280,3 hours.,Q  ,39526,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:45 PM,TR     ,English Building,61,McKinney C
GWS,295,3 hours.,EF ,56953,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,Wohlers Hall,130,Frerichs E
GWS,317,3 hours.,MKH,79542,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW     ,Wohlers Hall,170,Khan M
GWS,340,3 hours.,A  ,38499,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,12:20 PM,TR     ,Christopher Hall,7,Oleschuk M
GWS,356,3 hours.,A  ,47811,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR     ,Armory,331,
GWS,357,3 hours.,A  ,75370,2024-08-26Z,2024-12-11Z,Lecture-Discussion,10:30 AM,11:50 AM,MW     ,Armory,144,Lule L
GWS,370,3 hours.,A  ,42909,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR     ,David Kinley Hall,209,Henningsen K
GWS,376,3 hours.,U  ,66776,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR     ,David Kinley Hall,113,Horsfall W
GWS,378,3 hours.,Q  ,61294,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR     ,Armory,333,
GWS,395,3 hours.,D  ,77115,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:00 PM,01:50 PM,MW     ,Armory,147,Somerville S
GWS,409,3 hours.,A  ,35435,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,Huff Hall,112,Bensken J
GWS,417,4 hours.,LTD,47939,2024-08-26Z,2024-12-11Z,Lecture-Discussion,04:00 PM,05:50 PM,TR     ,Armory,134,Enslin M
GWS,418,3 OR 4 hours.,A3 ,35470,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:30 PM,04:30 PM,W      ,Armory,160,Fay L
